Name,Latitude,Longitude
Fiesta Farms,43.6686756,-79.420737
FreshCo,43.6434205,-79.4269364
Loblaws,43.6841711,-79.4154393
Metro,43.6661764,-79.4048942
Metro,43.6541846,-79.4193942
No Frills,43.5942359,-79.5396911
No Frills,43.6496634,-79.4404014
No Frills,43.6810635,-79.4337652
Sobeys,43.687304,-79.303906
Sobeys,43.684933,-79.3561861
Loblaws,43.688473,-79.2882525
No Frills,43.708304,-79.2962295
Metro,43.7111945,-79.3785851
Loblaws,43.735417,-79.404139
No Frills,43.8560583,-79.4321461
No Frills,43.6166932,-79.6174106
Metro,43.592186,-79.6256688
Loblaws,43.6964236,-79.3706916
Loblaws,43.699236,-79.3596486
Fortinos,43.7214175,-79.5957535
No Frills,43.675161,-79.3584777
Metro,43.639998,-79.4178224
No Frills,43.6866685,-79.4838342
No Frills,43.695874,-79.54493
Real Canadian Superstore,43.7101809,-79.5337029
No Frills,43.7426245,-79.3107155
No Frills,43.73346,-79.266995
Foody World,43.7719175,-79.2800985
Food Basics,43.73555,-79.5596355
Marché Adonis,43.6027888,-79.5880909
Loblaws Great Food,43.6439272,-79.5600686
Sobeys,43.630667,-79.4804127
Walmart Supercentre,43.6183846,-79.5541434
Metro,43.742828,-79.216397
No Frills,43.6503388,-79.5796807
H Mart,43.7786404,-79.4148922
Burnhamthorpe Fruit Market,43.6222835,-79.6014701
Walmart Supercentre,43.8420247,-79.4160126
Loblaws,43.8431329,-79.4108719
Loblaws,43.6442944,-79.3697679
No Frills,43.737652,-79.2466115
C&C Supermarket,43.7254127,-79.34162
No Frills,43.7377597,-79.4331471
No Frills,43.6122268,-79.4978749
Foodland,43.6786172,-79.3457523
Fortinos,43.849213,-79.532817
Fortinos,43.7889854,-79.5547184
冠業超市 First Choice Supermarket,43.846327,-79.306586
No Frills,43.7013161,-79.5027264
Loblaws,43.6610298,-79.3283455
No Frills,43.6265496,-79.5032785
Mapletri Supermarket,43.7957427,-79.5344009
Highland Farms,43.7658865,-79.283576
Galleria 갤러리아,43.798873,-79.4213675
Panchvati Supermarket,43.780479,-79.2325355
Coppa's,43.771834,-79.1665655
Valu-mart,43.6861548,-79.3125497
Metro,43.726818,-79.4031372
No Frills,43.6642684,-79.4685951
Rabba,43.598902,-79.5120065
No Frills,43.6947755,-79.453032
Loblaws,43.6653609,-79.4959023
FreshCo,43.774013,-79.2513095
Petra Ave Market,43.6555295,-79.3854337
Real Canadian Superstore,43.7226855,-79.3375015
Yummy Market,43.7647305,-79.4680762
Walmart Supercentre,43.667925,-79.484656
Rabba,43.650067,-79.527146
Walmart Supercentre,43.6089982,-79.5774439
Metro,43.6696165,-79.4731991
Walmart Supercentre,43.8116386,-79.45117
No Frills,43.7982665,-79.141306
Walmart Supercentre,43.8599025,-79.5027345
No Frills,43.8414332,-79.4859201
Your Independent Grocer,43.673271,-79.285872
Walmart Supercentre,43.7138106,-79.553347
No Frills,43.838712,-79.2504655
Your Independent Grocer,43.6146411,-79.4884118
FreshCo,43.659267,-79.3302594
Real Canadian Superstore,43.7847642,-79.4717074
Summerhill Market,43.715555,-79.3931545
No Frills,43.6511594,-79.4748427
