Name,Latitude,Longitude
Scarborough Health Network - Centenary Hospital,43.7804685,-79.2044451
Centre For Addiction and Mental Health - Queen Street Site,43.6430054,-79.4186304
Providence Healthcare,43.7126507,-79.2852621
Sunnybrook Health Sciences Centre - Bayview Campus,43.7227903,-79.3738222
Queensway Health Centre,43.6099953,-79.5621678
Toronto Western Hospital,43.6534739,-79.405488
Mount Sinai Hospital,43.6579066,-79.3917604
St. Joseph's Health Centre,43.6403559,-79.4498726
Toronto Private Hospital,-33.0153634,151.5933954
Hennick Bridgepoint Hospital,43.6663683,-79.3545719
Michael Garron Hospital,43.6899416,-79.3249288
Runnymede Healthcare Centre,43.6645126,-79.480969
Etobicoke General Hospital,43.7290395,-79.5983328
West Park Healthcare Centre,43.688956,-79.507805
Hennick Humber Hospital,43.7232868,-79.4882486
North York General Hospital - Finch Site,43.7716107,-79.4472432
Baycrest Health Sciences,43.7298827,-79.435417
Scarborough Health Network - General Campus,43.7564752,-79.2482821
Scarborough Health Network - Birchmount Hospital,43.8016698,-79.3092539
Sunnybrook - St. John's Rehab Hospital,43.7873316,-79.4042065
North York General Hospital,43.7692346,-79.3625755
Toronto Rehab Institute - Rumsey Centre,43.7188001,-79.3717391
Toronto Rehab - Lyndhurst Centre,43.7191173,-79.3697368
Holland Bloorview Kids Rehabilitation Hospital,43.7185764,-79.3735208
Reactivation Care Center,43.7095847,-79.5105994
Toronto General Hospital,43.6586555,-79.3881573
Hospital for Sick Children,43.6572585,-79.3875736
Toronto Rehab,43.6566946,-79.3899878
Mount Sinai Hospital,43.6574485,-79.390327
Princess Margaret Cancer Centre,43.6581745,-79.3906375
Centre For Addiction and Mental Health - College Street Site,43.6590586,-79.3992698
E.W. Bickle Centre for Complex Continuing Care,43.6353385,-79.4331466
Sunnybrook Holland Centre,43.6650913,-79.3822952
St. Michael's Hospital,43.6536319,-79.3778049
Women's College Hospital,43.661733,-79.387543
Hillcrest Grounds,43.6776637,-79.4155284
