Library_Name,Address,Latitude,Longitude
Albion,"1515 Albion Road, Toronto, ON, M9V 1B2",43.73999,-79.5845
Albert Campbell,"496 Birchmount Road, Toronto, ON, M1K 1N8",43.70814,-79.26911
Alderwood,"2 Orianna Drive, Toronto, ON, M8W 4Y1",43.60168,-79.54714
Agincourt,"155 Bonis Avenue, Toronto, ON, M1T 3W6",43.78522,-79.29349
Armour Heights,"2140 Avenue Road, Toronto, ON, M5M 4M7",43.73922,-79.42178
Annette Street,"145 Annette Street, Toronto, ON, M6P 1P3",43.6634,-79.46637
Amesbury Park,"1565 Lawrence Avenue West, Toronto, ON, M6L 1A8",43.70646,-79.48582
Brookbanks,"210 Brookbanks Drive, Toronto, ON, M3A 2T8",43.75952,-79.3258
Black Creek,"North York Sheridan Mall, 1700 Wilson Avenue Unit 63-64, Toronto, ON, M3L 1B2",43.72156,-79.5113
Bendale,"1515 Danforth Road, Toronto, ON, M1J 1H5",43.75109,-79.24403
Beaches,"2161 Queen Street East, Toronto, ON, M4L 1J1",43.67011,-79.29848
Barbara Frum,"20 Covington Road, Toronto, ON, M6A 3C1",43.72071,-79.43215
Bloor/Gladstone,"1101 Bloor Street West, Toronto, ON, M6H 1M7",43.65992,-79.43399
Brentwood,"36 Brentwood Road North, Toronto, ON, M8X 2B5",43.64747,-79.51417
Bridlewood,"Bridlewood Mall, 230-2900 Warden Avenue, Toronto, ON, M1W 2S8",43.79976,-79.31878
Burrows Hall,"1081 Progress Avenue, Toronto, ON, M1B 5Z6",43.79395,-79.2341
Cliffcrest,"3017 Kingston Road, Toronto, ON, M1M 1P1",43.72566,-79.23049
Centennial,"578 Finch Avenue West, Toronto, ON, M2R 1N7",43.77301,-79.44963
Cedarbrae,"545 Markham Road, Toronto, ON, M1H 2A1",43.75754,-79.22409
City Hall,"Nathan Phillips Square, 100 Queen Street West, Toronto, ON, M5H 2N3",43.65337,-79.38383
North York Central Library,"5120 Yonge Street, Toronto, ON, M2N 5N9",43.76817,-79.41451
College/Shaw,"766 College Street, Toronto, ON, M6G 1C4",43.65513,-79.42019
Danforth/Coxwell,"1675 Danforth Avenue, Toronto, ON, M4C 5P2",43.68368,-79.32143
