ASSET_NAME,TYPE,AMENITIES,Latitude,Longitude
MCNICOLL PARK,Park,"Basketball Court, Outdoor Ping Pong/Table Tennis, Playground, Sports Field, Tennis Court",43.7986097905353,-79.3532864284025
KNOTT PARK,Park,"Playground, Sports Field",43.7977040318531,-79.2916174006982
CYNTHIA LAI PARK,Park,"Basketball Court, Playground",43.7933472032765,-79.2335250203116
CUDMORE CREEK PARK,Park,Playground,43.7052739241272,-79.3851583446806
SHEPPARD EAST PARK,Park,"Outdoor Ping Pong/Table Tennis, Playground",43.7634431473978,-79.3964102564702
MAJOR ABBAS ALI PARK,Park,"Sports Field, Tennis Court",43.8048478247522,-79.2306931511991
BURROWS HALL PARK,Park,"Ball Diamond, Playground",43.793387794776,-79.2265009937002
SKYMARK PARK,Park,"Playground, Sports Field",43.7945873260475,-79.3558724693465
KING'S MILL PARK,Park,Dog Off-Leash Area,43.6461317886788,-79.4941073061776
TRAYMORE PARK,Park,"Outdoor Fitness Equipment, Playground",43.6483596365898,-79.4885424140218
CLIFFWOOD PARK,Park,"Ball Diamond, Pickleball Court, Playground, Sports Field, Tennis Court",43.8084161084248,-79.3550893936359
SANWOOD PARK,Park,"Basketball Court, Playground",43.8178297841523,-79.3102249187518
DR. DANIEL HILL PARK,Park,Playground,43.7493687891733,-79.327815630709
POINT ROUGE TRAIL PARK,Park,,43.8259580784185,-79.2201142249083
YORKWOODS PARK,Park,Playground,43.7514256192613,-79.5143635515435
PORT ROYAL PARK,Park,"Ball Diamond, Playground, Sports Field",43.8177961118992,-79.2876178729155
FRANK STOLLERY PARKETTE,Park,,43.6727145725911,-79.3882877861279
WELLESLEY - MAGILL PARK,Park,,43.6674809095383,-79.3758771511096
JAMES CANNING GARDENS,Park,Playground,43.6663595834543,-79.384167698471
JOSEPH SHEARD PARKETTE,Park,,43.6603584746907,-79.3818404879138
THE DOCTORS' PARKETTE,Park,,43.6574656563513,-79.4039874754161
DAVID A. BALFOUR PARK,Park,"Playground, Washroom",43.6856767409949,-79.3866196708111
ALLANHURST PARK,Park,Playground,43.6785434265223,-79.5255353777249
TALL PINES PARK,Park,"Basketball Court, Outdoor Ping Pong/Table Tennis, Playground",43.7985526890942,-79.1512875068463
ZOOVIEW PARK,Park,Playground,43.8090418332012,-79.1728510341279
BRIMLEY WOODS,Park,"Outdoor Fitness Equipment, Playground",43.8086650520845,-79.2767177855943
REMBERTO NAVIA SPORT FIELDS,Park,"Cricket Pitch Field, Sports Field",43.7591846118107,-79.5247821346061
MOSSGROVE PARK,Park,"Ball Diamond, Outdoor Fitness Equipment, Playground",43.7532770289854,-79.3646478555996
GRANDRAVINE PARK,Park,"Ball Diamond, Basketball Court, Outdoor Ping Pong/Table Tennis, Playground, Sports Field, Tennis Court",43.7519255965011,-79.4913156667407
