Name,Latitude,Longitude
Shoppers Drug Mart,43.699212,-79.319283
Shoppers Drug Mart,43.6717442,-79.4676914
Shoppers Drug Mart,43.7013306,-79.5193871
Shoppers Drug Mart,43.6302743,-79.4830782
Shoppers Drug Mart,43.6660587,-79.4863992
Rexall,43.6968123,-79.3694851
Shoppers Drug Mart,43.6416156,-79.5774265
Remedy'sRx,43.6770286,-79.3553728
Shoppers Drug Mart,43.6532827,-79.4061582
Shoppers Drug Mart,43.6839608,-79.3222545
Pharmasave,43.6653263,-79.4033563
Omni Pharmacy,43.6627953,-79.4213624
Sone's Pharmacy,43.6670968,-79.4314746
Shoppers Drug Mart,43.70342,-79.4153355
Shoppers Drug Mart,43.8329485,-79.2651905
Rexall,43.6577306,-79.4003544
Shoppers Drug Mart,43.6749563,-79.4079899
Shoppers Drug Mart,43.6507343,-79.4764551
Shoppers Drug Mart,43.6476894,-79.5110719
Shoppers Drug Mart,43.6926703,-79.4625581
Shoppers Drug Mart,43.6827033,-79.4192578
Shoppers Drug Mart,43.6702029,-79.3756396
Shoppers Drug Mart,43.736344,-79.2474645
Shoppers Drug Mart,43.7547005,-79.3598221
Shoppers Drug Mart,43.6665844,-79.4051229
Shoppers Drug Mart,43.7224795,-79.4161855
Pharmasave,43.6861171,-79.393468
Shoppers Drug Mart,43.6561267,-79.4085109
Trinity Drug Store,43.6523206,-79.4064887
Medical Pharmacy,43.6574797,-79.4035676
Shoppers Drug Mart,43.6733854,-79.3190281
Rexall,43.6607258,-79.3854466
Shoppers Drug Mart,43.6477106,-79.4021933
Shoppers Drug Mart,43.6461194,-79.3925144
Snowdon Pharmacy (Guardian),43.6675916,-79.4002121
Guardian,43.6433233,-79.4477035
Margis Pharmacy,43.6518279,-79.4500446
Guardian,43.6403357,-79.4385369
Shoppers Drug Mart,43.6615734,-79.3829277
Rexall,43.6493629,-79.4293206
Shoppers Drug Mart,43.6896218,-79.2899551
Shoppers Drug Mart,43.7487903,-79.2762374
Main Drug Mart,43.7079062,-79.3107881
Golden Gate Pharmacy,43.7077635,-79.3108911
Shoppers Drug Mart,43.7058898,-79.3128137
Shoppers Drug Mart,43.6583076,-79.3850092
Shoppers Drug Mart,43.6381429,-79.3907469
Shoppers Drug Mart,43.649079,-79.3776658
Coxwell Pharmacy,43.6826792,-79.3235042
Shoppers Drug Mart,43.6571735,-79.3885985
Main Drug Mart,43.6894149,-79.2969551
Main Drug Mart,43.6883532,-79.3016678
Shoppers Drug Mart,43.6685579,-79.3862638
Victoria Park Pharmacy,43.7138603,-79.2983527
Main Drug Mart,43.7092928,-79.2963796
Main Drug Mart,43.648396,-79.3706949
Rexall,43.6518746,-79.378851
Parliament Pharmacy,43.6617689,-79.367132
Shoppers Drug Mart,43.7067169,-79.2502789
Marshall's Drugs,43.6860757,-79.3763473
Shoppers Drug Mart,43.7989534,-79.3689831
Shoppers Drug Mart,43.8047218,-79.3846871
Rexall,43.7940907,-79.3531857
Rexall,43.6718397,-79.378293
Pharmasave,43.6142729,-79.4894247
Shoppers Drug Mart,43.7561362,-79.43954
Shoppers Drug Mart,43.7890968,-79.1397392
Shoppers Drug Mart,43.7236686,-79.3004631
Main Drug Mart,43.6776938,-79.5061934
Main Drug Mart,43.7028963,-79.5254399
Weston Drug Mart,43.7031949,-79.5249106
DiscountPlus Pharmacy,43.6966091,-79.2863224
Shoppers Drug Mart,43.7995453,-79.3192399
Sav-On Drug Mart,43.6100476,-79.5494221
Shoppers Drug Mart,43.6542848,-79.4189439
Guardian,43.7798761,-79.137173
Bloor-Sherbourne Pharmacy,43.6720554,-79.3769315
Rosedale Pharmacy,43.6715127,-79.3766812
Main Drug Mart,43.664693,-79.3740248
pharmacy.ca,43.6613712,-79.3720517
Shoppers Drug Mart,43.6460021,-79.3798608
Shoppers Drug Mart,43.7606953,-79.2241012
Rexall,43.7754149,-79.2307035
Shoppers Drug Mart,43.7944521,-79.2399838
Shoppers Drug Mart,43.6754984,-79.555853
Rexall,43.6797074,-79.5463636
Janedal Pharmacy,43.6808231,-79.4971884
Medicine Shoppe,43.6907767,-79.4729653
Torrance Compounding Pharmacy,43.7524393,-79.2647412
Markham-Lawrence Pharmacy,43.7565178,-79.2240055
Pape Drug Mart,43.6802273,-79.3451365
Bloor Park Pharmacy,43.6637371,-79.4181475
