price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft
388000.0,388000.0,388000.0,CONDO,CONDO,Waterfront Communities The Island,43.648879,-79.3880443,1,0,1,350.0
385000.0,385000.0,385000.0,CONDO,CONDO,Moss Park,43.6533131,-79.3598823,2,0,1,350.0
299000.0,299000.0,299000.0,CONDO,CONDO,Church-Yonge Corridor,43.6573754,-79.3740866,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Bay Street Corridor,43.6611357,-79.3856052,1,0,1,650.0
399999.0,399999.0,399999.0,CONDO,CONDO,South Riverdale,43.6576395,-79.350917,1,0,1,550.0
369000.0,369000.0,369000.0,CONDO,CONDO,Taylor Massey,43.6968373,-79.293353,1,1,1,950.0
399900.0,399900.0,399900.0,CONDO,CONDO,Elms Old Rexdale,43.721194,-79.5441255,3,0,2,1100.0
299000.0,299000.0,299000.0,CONDO,CONDO,Kingsview Village The Westway,43.6956176,-79.5538552,2,0,1,950.0
375000.0,375000.0,375000.0,CONDO,CONDO,Church Yonge Corridor,43.6611081,-79.3765785,1,1,2,750.0
385000.0,385000.0,385000.0,CONDO,CONDO,Church Yonge Corridor,43.6646354,-79.3780832,1,0,1,550.0
370000.0,370000.0,370000.0,CONDO,CONDO,Church-Yonge Corridor,43.6574957,-79.3743712,2,0,1,350.0
349000.0,349000.0,349000.0,CONDO,CONDO,Church Yonge Corridor,43.6699083,-79.3815245,1,0,1,550.0
388888.0,388888.0,388888.0,CONDO,CONDO,University,43.6645164,-79.4105865,2,0,1,350.0
369900.0,369900.0,369900.0,CONDO,CONDO,Kingsview Village The Westway,43.6956176,-79.5538552,2,0,1,1100.0
349000.0,349000.0,349000.0,CONDO,CONDO,Church-Yonge Corridor,43.6547114,-79.3792073,2,0,1,350.0
399900.0,399900.0,399900.0,CONDO,CONDO,Lansing Westgate,43.765639,-79.4127414,1,0,1,550.0
345000.0,345000.0,345000.0,CONDO,CONDO,Annex,43.6739939,-79.388627,2,0,1,350.0
375000.0,375000.0,375000.0,CONDO,CONDO,High Park-Swansea,43.6368133,-79.4681638,1,0,1,350.0
388000.0,388000.0,388000.0,CONDO,CONDO,Waterfront Communities C8,43.64992729999999,-79.3670527,1,0,1,350.0
339000.0,339000.0,339000.0,CONDO,CONDO,Mount Pleasant West,43.7101663,-79.3934897,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.6489604,-79.392576,2,0,1,350.0
398000.0,398000.0,398000.0,CONDO,CONDO,Waterfront Communities C8,43.6455213,-79.3687484,1,0,2,350.0
