Name,Cuisine,Latitude,Longitude
Amsterdam Brew House,american,43.6378988,-79.3847424
Kandahar Kabab,kebab,43.7051364,-79.3486642
Miller Tavern,,43.7407675,-79.405694
Pizza Hut,pizza,43.7932425,-79.353702
Acqua Supper Club,,43.6308935,-79.4228248
The Keating Channel Pub & Grill,,43.6476371,-79.3533929
Pizza Hut,pizza,43.7637688,-79.2921125
Gwalia,indian,43.7353644,-79.60471
Earls,american,43.6146275,-79.5558261
K&B Sushi,sushi;asian;japanese;korean;chinese;thai,43.6222347,-79.5224867
Asian Buffet,asian,43.7109016,-79.5688585
Handi Indian Cuisine,indian,43.7145749,-79.5687569
Pizza Hut,pizza,43.7142443,-79.5686577
Mr. Greek,greek,43.799814,-79.19828
Caribbean Heat 3,caribbean,43.7520775,-79.5442264
Captain's Catch,chinese,43.774945,-79.3338865
Patty King,,43.773548,-79.2680335
Boston Pizza,pizza,43.6888107,-79.5857778
Tucker's Marketplace,,43.6890233,-79.5851189
Lone Star Texas Grill,tex-mex,43.6872276,-79.5972592
The Keg,steak_house,43.6862761,-79.5974538
East Side Mario's,italian,43.7238945,-79.290673
Kelsey's,american,43.7967925,-79.2025765
Boston Pizza,pizza,43.7963785,-79.204146
Royal Meats BBQ,burger,43.62543,-79.529283
Nobuya (Japanese Fast Food-Ya),japanese,43.6145129,-79.4974215
St. Louis Bar & Grill,chicken,43.7015167,-79.3976439
Sushi by K,regional;sushi,43.7137733,-79.3651461
Bramble,,43.6482788,-79.5084913
Himalayan Kitchen & Bar,,43.6401893,-79.4375999
Bumpkin's,,43.6665837,-79.3840893
Local Public Eatery,,43.7099116,-79.3635479
The Keg - Steakhouse + Bar - Mansion,steak_house,43.6668133,-79.3778821
The Blake House,,43.6645309,-79.3771464
Barberian's Steakhouse and Tavern,steak_house,43.6576095,-79.382135
The Grand Hive Honey's Bistro and Bar,,43.6672258,-79.3791224
Grenadier Cafe,,43.6455131,-79.4660066
Merlot,french,43.6478349,-79.510359
Just Greek Restaurant,greek,43.6477998,-79.5105399
Prague Restaurant,,43.7543846,-79.2159596
Swiss Chalet,chicken,43.7785673,-79.2570504
Scaddabush,italian,43.7776162,-79.2542572
Soluna,mediterranean,43.6496257,-79.3942756
Rivoli,,43.6494798,-79.3949601
David Duncan House,,43.758296,-79.3488355
The Works,burger,43.648766,-79.3740903
Canyon Creek,,43.777028,-79.2618555
Kelsey's,american,43.7288555,-79.2846475
Cellar Door,,43.6000038,-79.5077067
Carousel Cafe,,43.6194375,-79.3738341
Tom Jones Steakhouse,steak_house,43.6491556,-79.3753975
Island Riviera,,43.6273597,-79.3565358
The Keg,steak_house,43.782669,-79.2349535
East Side Mario's,italian,43.7855404,-79.4759976
Montana's,barbecue,43.7866226,-79.4714585
Toronto Island BBQ & Beer Company,american,43.6233609,-79.3786894
The Greek Boy,,43.6866968,-79.3481173
Swiss Chalet,chicken,43.712842,-79.3075535
Sunrise Bar & Restaurant,,43.71993,-79.301053
Kasamoto,japanese,43.6706209,-79.3927707
The Keg,steak_house,43.6499807,-79.3840096
名門金宴,chinese,43.8196245,-79.322363
Queen Margherita Pizza,pizza,43.6581682,-79.4878229
The OWL of Minerva,korean,43.7732893,-79.4142004
HeyNoodles,chinese;noodle,43.7728334,-79.41409
Sugar Marmalade,dessert,43.7732266,-79.4142102
Caribbean Coast,,43.735615,-79.255026
Chop Steakhouse & Bar,steak_house,43.6868255,-79.5892385
Pi Co.,pizza,43.6814873,-79.4258236
Prime Doner Shwarma,,43.6633207,-79.4025009
Harry's Charbroiled,burger,43.6556742,-79.4098907
The Fourth Man in the Fire Pizzeria,pizza,43.6517057,-79.4096053
Drom Taberna,,43.648206,-79.3995577
Max's Restaurant,asian,43.7624945,-79.22597
Barans Turkish Cuisine & BBQ,turkish,43.728905,-79.2807795
Red Lobster,seafood,43.6561655,-79.3836362
Toro Toro,japanese;sushi,43.6687971,-79.3859933
Mexitaco,mexican,43.7086174,-79.2955784
Pisac Peruvian Bistro,peruvian,43.6635565,-79.3706025
Chew Chew's Diner,burger,43.6634831,-79.3723075
Biagio Ristorante,italian,43.6502174,-79.3723941
P.J. O'Brien Restaurant,,43.6488983,-79.3753257
Mercatto Restaurant,,43.6502414,-79.3760324
BLD Restaurant,,43.6506875,-79.3766921
Sunset Grill,american,43.6515163,-79.3790842
Kyoto House Japanese Restaurant,sushi;japanese,43.65527,-79.3853128
Gyubee Japanese Grill,japanese,43.6551479,-79.3858166
Hemispheres Restaurant Bistro,,43.6548563,-79.386186
Park Snacks,,43.6669253,-79.3631687
Swiss Chalet,chicken,43.7404471,-79.232771
Pizza Hut,pizza,43.704869,-79.405697
Cherry Street Bar-B-Que,barbecue,43.6455815,-79.3523218
Fran's Restaurant,,43.6543834,-79.3789778
Congee Wong,chinese,43.7906388,-79.3657401
Petit Potato,,43.7905754,-79.3660962
The Keg,steak_house,43.7588226,-79.3608736
Big Way Hot Pot,korean,43.6651215,-79.4106262
Matha Roti,indian,43.6620921,-79.4063327
Akai,sushi,43.6625828,-79.4049411
Chinese Halal Restaurant,chinese,43.7911958,-79.3667693
Asian Legend,,43.7883678,-79.2672011
