NAME,ADDRESS_FULL,BOARD_NAME,SCHOOL_TYPE_DESC,Latitude,Longitude
"BEHAVIOUR INNOVATIONS, CHILDREN'S COLLEGE",618 The Queensway,,Private,43.6281819609662,-79.4954821417463
ST PATRICK CATHOLIC SECONDARY SCHOOL,49 Felstead Ave,Toronto Catholic District School Board,English Separate,43.6783223029713,-79.3276494865718
THE AMBASSADORS OF GOD ACADEMY,807 Arrow Rd,,Private,43.7491408443145,-79.5317921438044
A PLUS ACADEMY OF ADVANCEMENT,2425 Eglinton Ave E,,Private,43.7320819460129,-79.267103936897
A R S ARMENIAN PRIVATE SCHOOL,50 Hallcrown Pl,,Private,43.770053062482,-79.323156147744
A Y JACKSON SECONDARY SCHOOL,50 Francine Dr,Toronto District School Board,English Public,43.8052613014219,-79.3665552934095
ABACUS MONTESSORI,2723 St Clair Ave E,,Private,43.7057435447297,-79.31007931829
ABU HURAIRA ISLAMIC CENTRE AND ACADEMY,270 Yorkland Blvd,,Private,43.7728246855325,-79.3345356762113
ACACIA INTERNATIONAL HIGH SCHOOL,235 Dixon Rd,,Private,43.6966790689064,-79.5439123761529
ACADEMIE ALEXANDRE DUMAS,255 Coronation Dr,Conseil scolaire Viamonde,French Public,43.7624188078436,-79.1797652166975
ACADEMY OF ENLIGHTENED MINDS,345 Sorauren Ave,,Private,43.6493584570037,-79.4443549998398
ACADEMY OF EXCELLENCE SECONDARY SCHOOL,128 Willowdale Ave,,Private,43.7651862818454,-79.4005055525118
ACADEMY OF MATH AND ENGLISH,5101 Dundas St W,,Private,43.644824255422,-79.5319897329647
ACADEMY OF NEW ECHO EDUCATION,2716 Victoria Park Ave,,Private,43.7843805593501,-79.3278259705449
ACADEMY OF THOUGHT AND INDUSTRY TORONTO,1767 Queen St E,,Private,43.6678071533765,-79.3094726097897
ACE ACUMEN HIGH SCHOOL,1440 Don Mills Rd,,Private,43.750732060267,-79.3475085093383
ADAM BECK JR PUBLIC SCHOOL,400 Scarborough Rd,Toronto District School Board,English Public,43.6831518038006,-79.2884878925608
ADELFIHA'S CHRISTIAN ACADEMY,4340 Dufferin St,,Private,43.7626893702758,-79.4664451058379
ADVANCED CHRISTIAN ACADEMY,1100 Bellamy Rd N,,Private,43.7759789830752,-79.2433668848355
ADVANCED CHRISTIAN ACADEMY (Renamed),1100 Bellamy Rd N,,Private,43.7759789830752,-79.2433668848355
AFZAL ISLAMIC MONTESSORI & ACADEMY,188 Shorting Rd,,Private,43.7936848745062,-79.2502830613455
AGINCOURT COLLEGIATE INSTITUTE,2621 Midland Ave,Toronto District School Board,English Public,43.7888738444071,-79.2789099586918
AGINCOURT INTERNATIONAL ACADEMY,1001 Sandhurst Crcl,,Private,43.8092576481457,-79.2636771200357
AGINCOURT JR PUBLIC SCHOOL,29 Lockie Ave,Toronto District School Board,English Public,43.7882592158345,-79.2811623057309
AGINCOURT MONTESSORI SCHOOL,2575 Midland Ave,,Private,43.7864432730251,-79.2787041824473
AGNES MACPHAIL PUBLIC SCHOOL,112 Goldhawk Trl,Toronto District School Board,English Public,43.819268975669,-79.2785533935458
AL AZHAR ACADEMY OF CANADA SCHOOL & UMMAH NABAWIAH MOSQUE,2074 Kipling Ave,,Private,43.7148769185254,-79.5692116239686
AL AZHAR ISLAMIC SCHOOL,100 McLevin Ave,,Private,43.8015539474172,-79.2365750799133
AL AZHAR ISLAMIC SCHOOL - MAIN OFFICE,100 McLevin Ave,,Private,43.8015539474172,-79.2365750799133
AL HAADI SCHOOL,690 Progress Ave,,Private,43.777941595248,-79.2484031068229
AL IKHLAAS FOUNDATION SCHOOL,2050 Kipling Ave,,Private,43.7133317748297,-79.5685183129017
ALATHENA INTERNATIONAL ACADEMY - NORTH YORK,1446 Don Mills Rd,,Private,43.7516228391091,-79.3476788001871
ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,1065 McNicoll Ave,,Private,43.8036813180512,-79.3326615935038
ALATHENA INTERNATIONAL ELEMENTARY SCHOOL,1446 Don Mills Rd,,Private,43.7516228391091,-79.3476788001871
ALBERT CAMPBELL COLLEGIATE INSTITUTE,1550 Sandhurst Crcl,Toronto District School Board,English Public,43.8092625383141,-79.272424472942
ALBION HEIGHTS JR MDL SCHOOL,45 Lynmont Rd,Toronto District School Board,English Public,43.7313882639787,-79.5943154958931
ALBION LINC ,1530 Albion Rd,Toronto District School Board,English Public,43.7417625405401,-79.5846021379965
ALBORZ EDUCATION CENTRE,20 Tangreen Crt,,Private,43.7954555029252,-79.4265072535272
ALEXANDER MUIR GLADSTONE AVE & THE GROVE,108 Gladstone Ave,Toronto District School Board,English Public,43.6460212506421,-79.4288472631571
ALEXANDER STIRLING PUBLIC SCHOOL,70 Fawcett Trl,Toronto District School Board,English Public,43.8116563341027,-79.2076059404946
ALEXMUIR JR PUBLIC SCHOOL,95 Alexmuir Blvd,Toronto District School Board,English Public,43.809109322683,-79.2856134903058
AL-HIDAYAH ACADEMY SCHOOL,65 Rexdale Blvd,,Private,43.7126921165061,-79.560003318024
