price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
388000.0,388000.0,388000.0,CONDO,CONDO,Waterfront Communities The Island,43.648879,-79.3880443,1,0,1,350.0,342.73,883.01,291.11,603.61,202.76,210.82,282.53,245.63,349,88,63,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
385000.0,385000.0,385000.0,CONDO,CONDO,Moss Park,43.6533131,-79.3598823,2,0,1,350.0,83.2,1442.36,157.15,766.1,295.48,457.14,356.22,1517.53,52,82,41,83,2502284,26022799,,73,73,Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,,17826049.0,Moss Park
299000.0,299000.0,299000.0,CONDO,CONDO,Church-Yonge Corridor,43.6573754,-79.3740866,2,0,1,350.0,167.25,512.6,204.69,694.79,29.55,188.96,244.25,565.7,227,103,66,83,2502284,26022799,,73,73,Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,,17826049.0,Moss Park
399000.0,399000.0,399000.0,CONDO,CONDO,Bay Street Corridor,43.6611357,-79.3856052,1,0,1,650.0,283.31,169.44,219.66,875.24,46.46,47.33,82.56,232.11,229,93,80,6,2502361,26022876,,169,169,Bay-Cloverhill,Bay-Cloverhill (169),Not an NIA or Emerging Neighbourhood,,17824817.0,Bay-Cloverhill
399999.0,399999.0,399999.0,CONDO,CONDO,South Riverdale,43.6576395,-79.350917,1,0,1,550.0,450.09,1014.15,86.92,323.23,344.55,388.29,636.6,2229.89,44,75,29,86,2502281,26022796,,70,70,South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,,17826097.0,South Riverdale
369000.0,369000.0,369000.0,CONDO,CONDO,Taylor Massey,43.6968373,-79.293353,1,1,1,950.0,71.27,1874.8,352.97,612.57,695.98,565.79,699.45,426.11,17,56,27,95,2502272,26022787,,61,61,Taylor-Massey,Taylor-Massey (61),Neighbourhood Improvement Area,NIA,17826241.0,Taylor-Massey
399900.0,399900.0,399900.0,CONDO,CONDO,Elms Old Rexdale,43.721194,-79.5441255,3,0,2,1100.0,652.15,2987.75,274.14,2058.87,1075.19,952.05,976.53,6361.8,4,25,12,150,2502217,26022732,,5,5,Elms-Old Rexdale,Elms-Old Rexdale (5),Neighbourhood Improvement Area,NIA,17827121.0,Elms-Old Rexdale
299000.0,299000.0,299000.0,CONDO,CONDO,Kingsview Village The Westway,43.6956176,-79.5538552,2,0,1,950.0,244.17,3775.84,119.69,1697.18,339.42,349.87,718.12,6059.39,2,25,22,149,2502218,26022733,,6,6,Kingsview Village-The Westway,Kingsview Village-The Westway (6),Neighbourhood Improvement Area,NIA,17827105.0,Kingsview Village-The Westway
375000.0,375000.0,375000.0,CONDO,CONDO,Church Yonge Corridor,43.6611081,-79.3765785,1,1,2,750.0,187.01,638.46,200.47,692.33,255.63,365.32,111.49,502.55,199,99,74,38,2502329,26022844,,168,168,Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,,17825329.0,Downtown Yonge East
385000.0,385000.0,385000.0,CONDO,CONDO,Church Yonge Corridor,43.6646354,-79.3780832,1,0,1,550.0,29.8,342.57,239.77,434.19,206.35,174.82,264.88,470.43,209,97,74,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
370000.0,370000.0,370000.0,CONDO,CONDO,Church-Yonge Corridor,43.6574957,-79.3743712,2,0,1,350.0,193.76,510.78,203.96,701.78,27.53,176.68,218.0,545.59,232,103,66,83,2502284,26022799,,73,73,Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,,17826049.0,Moss Park
349000.0,349000.0,349000.0,CONDO,CONDO,Church Yonge Corridor,43.6699083,-79.3815245,1,0,1,550.0,190.25,539.2,46.08,476.97,208.83,292.63,264.03,348.69,160,89,71,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
388888.0,388888.0,388888.0,CONDO,CONDO,University,43.6645164,-79.4105865,2,0,1,350.0,147.95,1094.08,154.04,293.36,94.64,131.32,146.05,165.87,146,83,63,80,2502287,26022802,,79,79,University,University (79),Not an NIA or Emerging Neighbourhood,,17826001.0,University
369900.0,369900.0,369900.0,CONDO,CONDO,Kingsview Village The Westway,43.6956176,-79.5538552,2,0,1,1100.0,244.17,3775.84,119.69,1697.18,339.42,349.87,718.12,6059.39,2,25,22,149,2502218,26022733,,6,6,Kingsview Village-The Westway,Kingsview Village-The Westway (6),Neighbourhood Improvement Area,NIA,17827105.0,Kingsview Village-The Westway
349000.0,349000.0,349000.0,CONDO,CONDO,Church-Yonge Corridor,43.6547114,-79.3792073,2,0,1,350.0,87.77,164.74,215.31,400.7,190.16,145.67,123.88,201.5,273,101,70,38,2502329,26022844,,168,168,Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,,17825329.0,Downtown Yonge East
399900.0,399900.0,399900.0,CONDO,CONDO,Lansing Westgate,43.765639,-79.4127414,1,0,1,550.0,165.93,2507.55,225.01,315.24,93.3,301.06,93.74,338.12,84,60,34,115,2502252,26022767,,38,38,Lansing-Westgate,Lansing-Westgate (38),Not an NIA or Emerging Neighbourhood,,17826561.0,Lansing-Westgate
345000.0,345000.0,345000.0,CONDO,CONDO,Annex,43.6739939,-79.388627,2,0,1,350.0,32.01,1113.24,144.85,230.61,107.9,219.84,350.8,274.81,132,90,66,63,2502304,26022819,,95,95,Annex,Annex (95),Not an NIA or Emerging Neighbourhood,,17825729.0,Annex
375000.0,375000.0,375000.0,CONDO,CONDO,High Park-Swansea,43.6368133,-79.4681638,1,0,1,350.0,1045.65,1523.74,261.87,1428.57,1328.78,981.13,1199.52,1771.56,1,31,11,101,2502266,26022781,,87,87,High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,,17826337.0,High Park-Swansea
388000.0,388000.0,388000.0,CONDO,CONDO,Waterfront Communities C8,43.64992729999999,-79.3670527,1,0,1,350.0,186.16,958.14,130.89,104.19,162.5,66.36,81.83,867.83,109,79,48,40,2502327,26022842,,166,166,St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,,17825361.0,St Lawrence-East Bayfront-The Islands
339000.0,339000.0,339000.0,CONDO,CONDO,Mount Pleasant West,43.7101663,-79.3934897,2,0,1,350.0,238.39,1857.5,185.0,549.84,288.29,250.79,304.67,557.09,83,49,41,2,2502365,26022880,,173,173,North Toronto,North Toronto (173),Not an NIA or Emerging Neighbourhood,,17824753.0,North Toronto
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.6489604,-79.392576,2,0,1,350.0,236.3,884.85,192.12,857.65,59.78,108.39,85.26,526.97,382,87,58,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
398000.0,398000.0,398000.0,CONDO,CONDO,Waterfront Communities C8,43.6455213,-79.3687484,1,0,2,350.0,278.67,1159.44,134.93,512.51,132.62,184.55,159.19,818.73,101,73,32,40,2502327,26022842,,166,166,St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,,17825361.0,St Lawrence-East Bayfront-The Islands
385000.0,385000.0,385000.0,CONDO,CONDO,Church-Yonge Corridor,43.6574957,-79.3743712,1,0,1,350.0,193.76,510.78,203.96,701.78,27.53,176.68,218.0,545.59,232,103,66,83,2502284,26022799,,73,73,Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,,17826049.0,Moss Park
399900.0,399900.0,399900.0,CONDO,CONDO,Cabbagetown-South St. James Town,43.6667853,-79.3749198,1,0,1,350.0,84.43,622.43,105.93,88.82,513.17,186.33,107.49,622.69,151,89,64,85,2502282,26022797,,71,71,Cabbagetown-South St.James Town,Cabbagetown-South St.James Town (71),Not an NIA or Emerging Neighbourhood,,17826081.0,Cabbagetown-South St.James Town
368000.0,368000.0,368000.0,CONDO,CONDO,TCCY - Church-Yonge Corridor,43.6693009,-79.3841709,2,0,1,359.0,57.04,491.8,129.57,359.81,203.55,177.83,162.96,205.22,163,92,73,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
