price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
699000.0,699000.0,699000.0,HOUSE,HOUSE,Weston Pellam Park,43.6780292,-79.4615239,3,0,4,1750.0,224.58,2169.07,272.99,422.23,911.5,425.17,552.74,2442.6,31,54,31,66,2502301,26022816,,91,91,Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777.0,Weston-Pelham Park
698000.0,698000.0,698000.0,HOUSE,HOUSE,Greenwood Coxwell,43.675487,-79.3207773,3,2,3,900.0,257.66,1641.58,29.03,352.64,330.05,272.76,245.81,980.62,32,60,35,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
699900.0,699900.0,699900.0,HOUSE,HOUSE,Woodbine-Lumsden,43.6918753,-79.3123233,2,0,2,900.0,394.81,1036.07,224.9,1169.02,683.67,667.93,260.17,607.76,15,58,34,96,2502271,26022786,,60,60,Woodbine-Lumsden,Woodbine-Lumsden (60),Not an NIA or Emerging Neighbourhood,,17826257.0,Woodbine-Lumsden
799000.0,799000.0,799000.0,HOUSE,HOUSE,East End Danforth,43.6794184,-79.3091457,2,1,2,700.0,412.36,1726.24,194.97,896.46,735.66,740.58,797.5,826.64,21,58,35,94,2502273,26022788,,62,62,East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,,17826225.0,East End-Danforth
799000.0,799000.0,799000.0,HOUSE,HOUSE,East End Danforth,43.6887584,-79.2948281,3,1,2,1300.0,393.72,2423.81,285.78,701.71,165.2,99.11,164.82,545.8,23,57,31,94,2502273,26022788,,62,62,East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,,17826225.0,East End-Danforth
849900.0,849900.0,849900.0,HOUSE,HOUSE,Corso Italia Davenport,43.6791532,-79.4551967,2,0,2,900.0,589.96,2635.68,454.39,694.23,522.8,650.51,351.24,2441.87,40,53,36,65,2502302,26022817,,92,92,Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,,17825761.0,Corso Italia-Davenport
849000.0,849000.0,849000.0,HOUSE,HOUSE,Casa Loma,43.6820411,-79.4008294,2,1,2,900.0,216.56,1278.35,280.74,997.01,577.81,745.53,517.98,831.32,47,81,50,62,2502305,26022820,,96,96,Casa Loma,Casa Loma (96),Not an NIA or Emerging Neighbourhood,,17825713.0,Casa Loma
834900.0,834900.0,834900.0,HOUSE,HOUSE,Rosedale Moore Park,43.6749678,-79.3703908,3,4,4,900.0,369.92,1457.0,196.44,891.83,611.42,568.25,372.04,195.93,28,77,39,60,2502307,26022822,,98,98,Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,,17825681.0,Rosedale-Moore Park
849000.0,849000.0,849000.0,HOUSE,HOUSE,Weston Pellam Park,43.6682836,-79.4564803,4,0,1,900.0,113.45,2013.89,74.88,622.75,511.83,586.92,705.72,1291.67,49,56,38,66,2502301,26022816,,91,91,Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777.0,Weston-Pelham Park
849000.0,849000.0,849000.0,HOUSE,HOUSE,Wychwood,43.6790552,-79.427866,3,0,2,900.0,279.11,1004.17,277.19,499.4,291.79,295.3,345.95,1207.17,56,73,44,64,2502303,26022818,,94,94,Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,,17825745.0,Wychwood
899900.0,899900.0,899900.0,HOUSE,HOUSE,Weston Pellam Park,43.6808365,-79.4599694,3,1,2,900.0,225.02,2479.36,216.7,729.76,943.46,344.93,687.38,2715.32,26,50,33,66,2502301,26022816,,91,91,Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777.0,Weston-Pelham Park
848888.0,848888.0,848888.0,HOUSE,HOUSE,Rosedale Moore Park,43.7520768,-79.20678629999999,3,4,4,900.0,563.72,3162.61,527.76,807.75,802.67,833.34,776.37,5071.08,2,30,23,23,2502344,26022859,,140,140,Guildwood,Guildwood (140),Not an NIA or Emerging Neighbourhood,,17825089.0,Guildwood
988000.0,988000.0,988000.0,HOUSE,HOUSE,Danforth,43.6859653,-79.3270601,3,0,2,1300.0,317.98,474.19,415.49,519.16,396.37,327.91,417.49,380.76,35,53,38,90,2502277,26022792,,66,66,Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,,17826161.0,Danforth
985000.0,985000.0,985000.0,HOUSE,HOUSE,Waterfront Communities The Island,43.7084677,-79.5059485,3,1,2,1300.0,387.95,393.92,548.97,1404.5,1278.6,76.84,836.34,5029.68,13,46,24,75,2502292,26022807,,113,113,Weston,Weston (113),Neighbourhood Improvement Area,NIA,17825921.0,Weston
