price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
539900.0,539900.0,539900.0,TOWNHOUSE,TOWNHOUSE,Niagara,43.6397574,-79.4130731,1,0,1,460.0,581.54,574.82,65.36,1022.31,242.46,242.62,268.26,2438.81,87,70,26,43,2502324,26022839,,163,163,Fort York-Liberty Village,Fort York-Liberty Village (163),Not an NIA or Emerging Neighbourhood,,17825409.0,Fort York-Liberty Village
660000.0,660000.0,660000.0,TOWNHOUSE,TOWNHOUSE,TCNI - Niagara,43.6336235,-79.4002941,2,0,1,670.0,341.37,1807.11,93.7,623.46,440.48,391.42,259.35,2005.56,12,50,12,43,2502324,26022839,,163,163,Fort York-Liberty Village,Fort York-Liberty Village (163),Not an NIA or Emerging Neighbourhood,,17825409.0,Fort York-Liberty Village
688888.0,688888.0,688888.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Corso Italia Davenport,43.6741781,-79.4371145,3,1,3,1300.0,241.35,1778.75,410.93,529.65,606.68,497.78,796.21,1553.46,54,60,34,65,2502302,26022817,,92,92,Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,,17825761.0,Corso Italia-Davenport
988000.0,988000.0,988000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Dovercourt Wallace Emerson Junction,43.6627655,-79.4433444,5,2,4,900.0,274.94,2546.59,409.23,600.03,548.97,80.2,358.84,408.79,49,58,47,4,2502363,26022878,,171,171,Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,,17824785.0,Junction-Wallace Emerson
999000.0,999000.0,999000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Greenwood Coxwell,43.6700506,-79.3229274,5,2,3,1750.0,116.26,2217.63,443.8,276.18,434.99,365.24,272.49,1510.97,30,56,29,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
999000.0,999000.0,999000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Dovercourt Wallace Emerson Junction,43.6638146,-79.432053,5,1,3,1300.0,231.86,2034.17,196.1,460.24,337.68,367.92,820.36,477.33,61,67,51,3,2502364,26022879,,172,172,Dovercourt Village,Dovercourt Village (172),Not an NIA or Emerging Neighbourhood,,17824769.0,Dovercourt Village
975000.0,975000.0,975000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Dufferin Grove,43.6559793,-79.447795,3,0,3,1300.0,323.1,1745.27,255.13,1086.63,380.49,364.1,136.35,435.2,57,50,35,105,2502262,26022777,,83,83,Dufferin Grove,Dufferin Grove (83),Not an NIA or Emerging Neighbourhood,,17826401.0,Dufferin Grove
1075000.0,1075000.0,1075000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Weston Pellam Park,43.6773415,-79.4613153,4,1,6,1750.0,280.43,2129.23,204.0,344.02,872.83,347.34,490.22,2364.49,32,54,32,66,2502301,26022816,,91,91,Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777.0,Weston-Pelham Park
1028000.0,1028000.0,1028000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Greenwood Coxwell,43.6730266,-79.3268915,2,1,2,900.0,320.95,1887.47,341.11,395.42,629.97,553.76,448.28,1094.22,29,58,32,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
1150000.0,1150000.0,1150000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Greenwood Coxwell,43.6659009,-79.3194893,4,2,3,1750.0,201.24,2708.76,138.31,756.57,766.71,59.64,722.53,2045.1,31,49,23,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
